MOVIES,GENRE
Hold the Dark,"Action, Drama, Thriller"
Boku dake ga inai machi,"Animation, Drama, Fantasy"
The Amazing World of Gumball,"Animation, Adventure, Comedy"
The Dictator,Comedy
Miss Fisher's Murder Mysteries,"Crime, Drama, Mystery"
Saikojiman Gwaenchanha,"Comedy, Drama, Romance"
Julie and the Phantoms,"Comedy, Drama, Family"
Green Room,"Horror, Thriller"
The Witcher: Nightmare of the Wolf,"Animation, Action, Adventure"
Utopia,"Drama, Mystery, Sci-Fi"
The Post,Drama
Dracula,"Drama, Horror"
Spartacus,"Adventure, Biography, Drama"
Tonari no Totoro,"Animation, Family, Fantasy"
